Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,"Blainville, Quebec"
zoe,Zoe,Size,9,,,,,"",27
zoe,Zoe,Size,8,,,,,"",54
zoe,Zoe,Size,7,,,,,"",55
zoe,Zoe,Size,6,,,,,"",7
zoe,Zoe,Size,5,,,,,"",13
katia,Katia,Size,11,,,,,"",5
katia,Katia,Size,10,,,,,"",13
katia,Katia,Size,9,,,,,"",30
katia,Katia,Size,8,,,,,"",70
katia,Katia,Size,7,,,,,"",40
katia,Katia,Size,6,,,,,"",10
katia,Katia,Size,5,,,,,"",36
rose,Rose,Size,11,,,,,"",9
rose,Rose,Size,10,,,,,"",11
rose,Rose,Size,9,,,,,"",4
rose,Rose,Size,8,,,,,"",26
rose,Rose,Size,7,,,,,"",17
rose,Rose,Size,6,,,,,"",23
rose,Rose,Size,5,,,,,"",1
tess,Tess,Size,11,,,,,"",4
tess,Tess,Size,10,,,,,"",8
tess,Tess,Size,9,,,,,"",6
tess,Tess,Size,8,,,,,"",26
tess,Tess,Size,7,,,,,"",6
tess,Tess,Size,6,,,,,"",8
tess,Tess,Size,5,,,,,"",11
lucas,Lucas,Size,11,,,,,"",31
lucas,Lucas,Size,10,,,,,"",30
lucas,Lucas,Size,9,,,,,"",34
lucas,Lucas,Size,8,,,,,"",35
lucas,Lucas,Size,7,,,,,"",12
lucas,Lucas,Size,6,,,,,"",36
sasha,Sasha,Size,11,,,,,"",37
sasha,Sasha,Size,10,,,,,"",60
sasha,Sasha,Size,9,,,,,"",123
sasha,Sasha,Size,8,,,,,"",147
sasha,Sasha,Size,7,,,,,"",104
sasha,Sasha,Size,6,,,,,"",45
sasha,Sasha,Size,5,,,,,"",17
enzo,Enzo,Size,11,,,,,"",173
enzo,Enzo,Size,10,,,,,"",216
enzo,Enzo,Size,9,,,,,"",256
enzo,Enzo,Size,8,,,,,"",235
enzo,Enzo,Size,7,,,,,"",193
enzo,Enzo,Size,6,,,,,"",208
tom,Tom,Size,11,,,,,"",91
tom,Tom,Size,10,,,,,"",168
tom,Tom,Size,9,,,,,"",197
tom,Tom,Size,8,,,,,"",150
tom,Tom,Size,7,,,,,"",132
tom,Tom,Size,6,,,,,"",66
oxford,Oxford,Size,11,,,,,"",4
oxford,Oxford,Size,10,,,,,"",36
oxford,Oxford,Size,9,,,,,"",56
oxford,Oxford,Size,8,,,,,"",57
oxford,Oxford,Size,7,,,,,"",23
oxford,Oxford,Size,6,,,,,"",12
justin,Justin,Size,11,,,,,"",6
justin,Justin,Size,10,,,,,"",20
justin,Justin,Size,9,,,,,"",23
justin,Justin,Size,8,,,,,"",5
justin,Justin,Size,7,,,,,"",3
justin,Justin,Size,6,,,,,"",7
emie,Emie,Size,11,,,,,"",10
emie,Emie,Size,10,,,,,"",10
emie,Emie,Size,9,,,,,"",15
emie,Emie,Size,8,,,,,"",29
emie,Emie,Size,7,,,,,"",39
emie,Emie,Size,6,,,,,"",23
elise,Elise,Size,11,,,,,"",15
elise,Elise,Size,10,,,,,"",44
elise,Elise,Size,9,,,,,"",93
elise,Elise,Size,8,,,,,"",128
elise,Elise,Size,7,,,,,"",133
elise,Elise,Size,6,,,,,"",75
axel,Axel,Size,5,,,,,"",80
axel,Axel,Size,11,,,,,"",-6
axel,Axel,Size,10,,,,,"",426
axel,Axel,Size,9,,,,,"",462
axel,Axel,Size,8,,,,,"",551
axel,Axel,Size,7,,,,,"",431
axel,Axel,Size,6,,,,,"",247
oxford,Oxford,Size,5,,,,,"",7
elise,Elise,Size,5,,,,,"",46
emie,Emie,Size,5,,,,,"",7
