Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,"Blainville, Quebec",
nelly,Nelly,Size,3,,,,,,10,8
nelly,Nelly,Size,4,,,,,,6,4
nelly,Nelly,Size,5,,,,,,6,4
nelly,Nelly,Size,6,,,,,,9,7
nelly,Nelly,Size,7,,,,,,23,21
nelly,Nelly,Size,8,,,,,,33,31
nelly,Nelly,Size,9,,,,,,17,15
nelly,Nelly,Size,10,,,,,,3,1
nelly,Nelly,Size,11,,,,,,9,7
oxford,Oxford,Size,4,,,,,,11,9
oxford,Oxford,Size,5,,,,,,7,5
oxford,Oxford,Size,6,,,,,,12,10
oxford,Oxford,Size,7,,,,,,23,21
oxford,Oxford,Size,8,,,,,,57,55
oxford,Oxford,Size,9,,,,,,56,54
oxford,Oxford,Size,10,,,,,,36,34
oxford,Oxford,Size,11,,,,,,4,2
rose,Rose,Size,3,,,,,,7,5
rose,Rose,Size,4,,,,,,17,15
rose,Rose,Size,5,,,,,,1,-1
rose,Rose,Size,6,,,,,,23,21
rose,Rose,Size,7,,,,,,17,15
rose,Rose,Size,8,,,,,,26,24
rose,Rose,Size,9,,,,,,4,2
rose,Rose,Size,10,,,,,,11,9
rose,Rose,Size,11,,,,,,9,7
rose-junior,Rose Junior,Size,1,,,,,,9,7
rose-junior,Rose Junior,Size,2,,,,,,-2,-4
rose-junior,Rose Junior,Size,10,,,,,,11,9
rose-junior,Rose Junior,Size,11,,,,,,19,17
rose-junior,Rose Junior,Size,12,,,,,,17,15
rose-junior,Rose Junior,Size,13,,,,,,8,6
sasha,Sasha,Size,5,,,,,,17,15
sasha,Sasha,Size,6,,,,,,45,43
sasha,Sasha,Size,7,,,,,,104,102
sasha,Sasha,Size,8,,,,,,147,145
sasha,Sasha,Size,9,,,,,,123,121
sasha,Sasha,Size,10,,,,,,60,58
sasha,Sasha,Size,11,,,,,,37,35
savage,Savage,Size,26,,,,,,1,-1
savage,Savage,Size,27,,,,,,4,2
savage,Savage,Size,28,,,,,,10,8
savage,Savage,Size,29,,,,,,4,2
savage,Savage,Size,30,,,,,,3,1
savage,Savage,Size,31,,,,,,7,5
savage,Savage,Size,32,,,,,,7,5
savage,Savage,Size,33,,,,,,6,4
savage,Savage,Size,34,,,,,,15,13
savage,Savage,Size,35,,,,,,10,8
savage,Savage,Size,36,,,,,,5,3
savage,Savage,Size,37,,,,,,8,6
savage,Savage,Size,38,,,,,,2,0
savage,Savage,Size,39,,,,,,1,-1
savage,Savage,Size,40,,,,,,2,0
savage,Savage,Size,41,,,,,,2,0
shadow,Shadow,Size,26,,,,,,0,-2
shadow,Shadow,Size,27,,,,,,0,-2
shadow,Shadow,Size,28,,,,,,0,-2
